time	I(D)	I(L1)	I(a)
5.646904761905103e-003	4.034065e+001	7.847190e+001	7.848690e+001
5.656904761905106e-003	4.500000e-002	7.822070e+001	7.823570e+001
5.714285714285783e-003	4.500000e-002	7.644373e+001	7.645873e+001
5.779285714285799e-003	4.500000e-002	7.448018e+001	7.449518e+001
5.789285714285802e-003	3.804621e+001	7.424493e+001	7.425993e+001
5.799285714285805e-003	1.141463e+002	7.419775e+001	7.421275e+001
5.809285714285808e-003	1.524400e+002	7.433788e+001	7.435287e+001
6.209285714285931e-003	1.668479e+002	8.181702e+001	8.183202e+001
6.219285714285934e-003	1.459157e+002	8.205146e+001	8.206646e+001
6.229285714285937e-003	1.038034e+002	8.247208e+001	8.248708e+001
6.239285714285940e-003	8.312315e+001	8.307816e+001	8.309315e+001
6.282142857143096e-003	8.595685e+001	8.591185e+001	8.592685e+001
6.325000000000252e-003	8.874431e+001	8.869932e+001	8.871431e+001
6.367857142857408e-003	9.148554e+001	9.144055e+001	9.145555e+001
6.410714285714565e-003	9.418054e+001	9.413554e+001	9.415054e+001
6.453571428571720e-003	9.682930e+001	9.678430e+001	9.679930e+001
6.496428571428876e-003	9.943182e+001	9.938683e+001	9.940183e+001
6.539285714286032e-003	1.019881e+002	1.019431e+002	1.019581e+002
6.549285714286035e-003	7.679810e+001	1.024090e+002	7.676623e+001
6.559285714286038e-003	2.567859e+001	1.024988e+002	2.564296e+001
6.569285714286041e-003	4.500000e-002	1.022139e+002	7.501023e-003
6.666666666666744e-003	4.500000e-002	9.830479e+001	7.500984e-003
6.751666666666767e-003	4.500000e-002	9.501576e+001	7.500951e-003
6.761666666666770e-003	2.373413e+001	9.476083e+001	2.369851e+001
6.771666666666773e-003	7.126724e+001	9.488116e+001	7.123537e+001
6.781666666666776e-003	9.542027e+001	9.537527e+001	9.539027e+001
6.835952380952507e-003	9.873585e+001	9.869086e+001	9.870585e+001
6.890238095238238e-003	1.019838e+002	1.019388e+002	1.019538e+002
6.944523809523969e-003	1.051641e+002	1.051191e+002	1.051341e+002
6.998809523809700e-003	1.082768e+002	1.082318e+002	1.082468e+002
7.053095238095431e-003	1.113219e+002	1.112769e+002	1.112919e+002
7.107380952381162e-003	1.142993e+002	1.142543e+002	1.142693e+002
7.161666666666892e-003	1.172091e+002	1.171641e+002	1.171791e+002
7.171666666666896e-003	1.245382e+002	1.176316e+002	1.176466e+002
7.181666666666899e-003	1.386373e+002	1.179100e+002	1.179250e+002
7.191666666666902e-003	1.458808e+002	1.180002e+002	1.180152e+002
7.231666666666914e-003	1.475308e+002	1.181094e+002	1.181244e+002
7.271666666666926e-003	1.491556e+002	1.182169e+002	1.182319e+002
7.311666666666938e-003	1.507552e+002	1.183227e+002	1.183377e+002
7.351666666666951e-003	1.523296e+002	1.184269e+002	1.184419e+002
7.391666666666963e-003	1.538788e+002	1.185294e+002	1.185444e+002
7.431666666666975e-003	1.554028e+002	1.186302e+002	1.186452e+002
7.471666666666987e-003	1.569015e+002	1.187294e+002	1.187443e+002
7.481666666666990e-003	1.178733e+002	1.186915e+002	1.187065e+002
7.491666666666993e-003	3.935202e+001	1.184667e+002	1.184817e+002
7.501666666666997e-003	4.500000e-002	1.180557e+002	1.180707e+002
7.619047619047692e-003	4.500000e-002	1.126351e+002	1.126501e+002
7.754047619047730e-003	4.500000e-002	1.067088e+002	1.067238e+002
7.764047619047733e-003	3.524568e+001	1.063447e+002	1.063597e+002
7.774047619047736e-003	1.057559e+002	1.061693e+002	1.061843e+002
7.784047619047739e-003	1.412827e+002	1.061817e+002	1.061967e+002
7.994047619047803e-003	1.500338e+002	1.076892e+002	1.077042e+002
8.004047619047806e-003	1.397552e+002	1.078203e+002	1.078353e+002
8.014047619047809e-003	1.188404e+002	1.081379e+002	1.081529e+002
8.024047619047812e-003	1.086864e+002	1.086414e+002	1.086564e+002
8.091190476190691e-003	1.124231e+002	1.123781e+002	1.123931e+002
8.158333333333568e-003	1.160669e+002	1.160220e+002	1.160370e+002
8.225476190476446e-003	1.196178e+002	1.195729e+002	1.195879e+002
8.292619047619323e-003	1.230758e+002	1.230309e+002	1.230459e+002
8.359761904762201e-003	1.264409e+002	1.263959e+002	1.264109e+002
8.426904761905080e-003	1.297131e+002	1.296681e+002	1.296831e+002
8.494047619047956e-003	1.328924e+002	1.328474e+002	1.328624e+002
8.504047619047959e-003	9.991447e+001	1.331898e+002	9.988260e+001
8.514047619047963e-003	3.337375e+001	1.331566e+002	3.333813e+001
8.524047619047966e-003	4.500000e-002	1.327492e+002	7.501328e-003
8.571428571428653e-003	4.500000e-002	1.302540e+002	7.501303e-003
8.616428571428664e-003	4.500000e-002	1.279286e+002	7.501280e-003
8.626428571428667e-003	3.189669e+001	1.275422e+002	3.186107e+001
8.636428571428670e-003	9.572229e+001	1.275315e+002	9.569041e+001
8.646428571428673e-003	1.279402e+002	1.278952e+002	1.279102e+002
8.676428571428682e-003	1.293946e+002	1.293496e+002	1.293646e+002
8.706428571428691e-003	1.308322e+002	1.307872e+002	1.308022e+002
8.736428571428700e-003	1.322530e+002	1.322080e+002	1.322230e+002
8.766428571428710e-003	1.336568e+002	1.336118e+002	1.336268e+002
8.796428571428719e-003	1.350439e+002	1.349988e+002	1.350139e+002
8.826428571428728e-003	1.364140e+002	1.363690e+002	1.363840e+002
8.856428571428737e-003	1.377673e+002	1.377223e+002	1.377373e+002
8.876428571428743e-003	1.386608e+002	1.386158e+002	1.386308e+002
8.922142857143043e-003	1.406749e+002	1.406299e+002	1.406449e+002
8.967857142857343e-003	1.426541e+002	1.426091e+002	1.426241e+002
9.013571428571643e-003	1.445983e+002	1.445533e+002	1.445683e+002
9.059285714285941e-003	1.465076e+002	1.464626e+002	1.464776e+002
9.105000000000241e-003	1.483819e+002	1.483369e+002	1.483519e+002
9.150714285714541e-003	1.502213e+002	1.501763e+002	1.501913e+002
9.196428571428841e-003	1.520258e+002	1.519808e+002	1.519958e+002
9.206428571428844e-003	1.482901e+002	1.523091e+002	1.523241e+002
9.216428571428847e-003	1.404429e+002	1.524490e+002	1.524640e+002
9.226428571428851e-003	1.367535e+002	1.524012e+002	1.524162e+002
9.286428571428869e-003	1.394369e+002	1.517478e+002	1.517628e+002
9.296428571428872e-003	1.048097e+002	1.515780e+002	1.515930e+002
9.306428571428875e-003	3.500333e+001	1.512218e+002	1.512368e+002
9.316428571428878e-003	4.500000e-002	1.506799e+002	1.506949e+002
9.523809523809601e-003	4.500000e-002	1.386729e+002	1.386879e+002
9.758809523809670e-003	4.500000e-002	1.262202e+002	1.262352e+002
9.768809523809673e-003	2.909132e+001	1.257782e+002	1.257932e+002
9.778809523809676e-003	8.731738e+001	1.255251e+002	1.255401e+002
9.788809523809679e-003	1.188776e+002	1.255225e+002	1.255375e+002
9.798809523809682e-003	1.237218e+002	1.257667e+002	1.257817e+002
9.807973121742621e-003	1.262061e+002	1.261611e+002	1.261761e+002
9.917973121742654e-003	1.315313e+002	1.314863e+002	1.315013e+002
9.927973121742657e-003	1.320039e+002	1.319589e+002	1.319739e+002
9.996544550314106e-003	1.351884e+002	1.351434e+002	1.351584e+002
1.006511597888556e-002	1.382921e+002	1.382471e+002	1.382621e+002
1.013368740745701e-002	1.413152e+002	1.412702e+002	1.412852e+002
1.020225883602846e-002	1.442574e+002	1.442125e+002	1.442274e+002
1.027083026459991e-002	1.471190e+002	1.470740e+002	1.470890e+002
1.033940169317136e-002	1.498998e+002	1.498548e+002	1.498698e+002
1.040797312174280e-002	1.525999e+002	1.525549e+002	1.525699e+002
1.041797312174281e-002	1.146557e+002	1.528186e+002	1.146238e+002
1.042797312174281e-002	3.828093e+001	1.527069e+002	3.824530e+001
1.043797312174281e-002	4.500000e-002	1.522215e+002	7.501523e-003
1.047619047619056e-002	4.500000e-002	1.499093e+002	7.501500e-003
1.051119047619057e-002	4.500000e-002	1.478237e+002	7.501479e-003
1.052119047619057e-002	3.683076e+001	1.473577e+002	3.679514e+001
1.053119047619058e-002	1.105048e+002	1.472679e+002	1.104729e+002
1.054119047619058e-002	1.475976e+002	1.475526e+002	1.475676e+002
1.061833333333346e-002	1.506992e+002	1.506542e+002	1.506692e+002
1.069547619047634e-002	1.537132e+002	1.536682e+002	1.536832e+002
1.077261904761922e-002	1.566395e+002	1.565945e+002	1.566095e+002
1.084976190476210e-002	1.594783e+002	1.594333e+002	1.594483e+002
1.092690476190498e-002	1.622294e+002	1.621844e+002	1.621994e+002
1.100404761904786e-002	1.648929e+002	1.648479e+002	1.648629e+002
1.108119047619074e-002	1.674688e+002	1.674238e+002	1.674388e+002
1.109119047619075e-002	1.388140e+002	1.676904e+002	1.677054e+002
1.110119047619075e-002	8.128986e+001	1.677689e+002	1.677838e+002
1.111119047619075e-002	5.297939e+001	1.676598e+002	1.676748e+002
1.122119047619079e-002	6.145983e+001	1.658163e+002	1.658313e+002
1.123119047619079e-002	4.648298e+001	1.655903e+002	1.656053e+002
1.124119047619079e-002	1.558704e+001	1.651781e+002	1.651931e+002
1.125119047619080e-002	4.500000e-002	1.645805e+002	1.645955e+002
1.142857142857151e-002	4.500000e-002	1.532962e+002	1.533112e+002
1.159357142857156e-002	4.500000e-002	1.434964e+002	1.435114e+002
1.160357142857156e-002	1.361290e+001	1.429854e+002	1.430004e+002
1.161357142857156e-002	4.094399e+001	1.426635e+002	1.426785e+002
1.162357142857157e-002	5.509696e+001	1.425301e+002	1.425451e+002
1.178357142857162e-002	6.717899e+001	1.414345e+002	1.414495e+002
