time	beta	alpha
1.251595238095251e-002	-1.232292e+000	1.330373e+002
1.286595238095262e-002	-1.071154e+000	1.482991e+002
1.287595238095262e-002	-9.588352e-001	1.486421e+002
1.288595238095262e-002	-5.228537e-001	1.487966e+002
1.289595238095263e-002	2.354868e-001	1.487634e+002
1.293452380952407e-002	3.544707e+000	1.483975e+002
1.297309523809551e-002	6.805092e+000	1.480371e+002
1.301166666666695e-002	1.001664e+001	1.476820e+002
1.305023809523839e-002	1.317936e+001	1.473323e+002
1.308880952380983e-002	1.629323e+001	1.469880e+002
1.312738095238127e-002	1.935828e+001	1.466491e+002
1.316595238095271e-002	2.237449e+001	1.463156e+002
1.317595238095271e-002	2.304134e+001	1.461676e+002
1.318595238095272e-002	2.338141e+001	1.458330e+002
1.319595238095272e-002	2.339602e+001	1.453126e+002
1.333333333333342e-002	2.214373e+001	1.375347e+002
1.345833333333345e-002	2.106280e+001	1.308210e+002
1.346833333333346e-002	2.108667e+001	1.303606e+002
1.347833333333346e-002	2.143455e+001	1.300892e+002
1.348833333333346e-002	2.210516e+001	1.300060e+002
1.353690476190491e-002	2.584182e+001	1.299072e+002
1.358547619047635e-002	2.950984e+001	1.298103e+002
1.363404761904779e-002	3.310921e+001	1.297152e+002
1.368261904761924e-002	3.663995e+001	1.296219e+002
1.373119047619068e-002	4.010203e+001	1.295305e+002
1.377976190476212e-002	4.349548e+001	1.294408e+002
1.382833333333357e-002	4.682028e+001	1.293529e+002
1.383833333333357e-002	4.738945e+001	1.293974e+002
1.384833333333357e-002	4.763222e+001	1.296288e+002
1.385833333333358e-002	4.754992e+001	1.300465e+002
1.389261904761930e-002	4.690191e+001	1.316778e+002
1.392690476190503e-002	4.626244e+001	1.332876e+002
1.396119047619075e-002	4.563152e+001	1.348759e+002
1.399547619047648e-002	4.500913e+001	1.364427e+002
1.402976190476220e-002	4.439529e+001	1.379880e+002
1.406404761904793e-002	4.378999e+001	1.395118e+002
1.409833333333365e-002	4.319324e+001	1.410141e+002
1.410833333333365e-002	4.302064e+001	1.413239e+002
1.411833333333366e-002	4.284873e+001	1.412582e+002
1.412833333333366e-002	4.267751e+001	1.408185e+002
1.428571428571438e-002	4.007098e+001	1.322180e+002
1.446071428571443e-002	3.735948e+001	1.232711e+002
1.447071428571443e-002	3.721019e+001	1.229033e+002
1.448071428571444e-002	3.706149e+001	1.229111e+002
1.449071428571444e-002	3.691340e+001	1.232932e+002
1.467071428571450e-002	3.434658e+001	1.320866e+002
1.468071428571450e-002	3.431737e+001	1.324944e+002
1.469071428571450e-002	3.461238e+001	1.327134e+002
1.470071428571450e-002	3.523033e+001	1.327445e+002
1.476071428571452e-002	3.952245e+001	1.325579e+002
1.482071428571454e-002	4.371842e+001	1.323756e+002
1.488071428571456e-002	4.781827e+001	1.321974e+002
1.494071428571458e-002	5.182197e+001	1.320234e+002
1.500071428571460e-002	5.572954e+001	1.318535e+002
1.506071428571462e-002	5.954097e+001	1.316879e+002
1.512071428571463e-002	6.325627e+001	1.315264e+002
1.513071428571464e-002	6.375975e+001	1.314375e+002
1.514071428571464e-002	6.393712e+001	1.311617e+002
1.515071428571464e-002	6.378966e+001	1.307000e+002
1.523809523809533e-002	6.159617e+001	1.262057e+002
1.532309523809535e-002	5.953532e+001	1.219832e+002
1.533309523809535e-002	5.940546e+001	1.215581e+002
1.534309523809536e-002	5.960022e+001	1.213219e+002
1.535309523809536e-002	6.011831e+001	1.212737e+002
1.538166666666680e-002	6.189418e+001	1.213146e+002
1.541023809523824e-002	6.365040e+001	1.213551e+002
1.543880952380967e-002	6.538698e+001	1.213952e+002
1.546738095238111e-002	6.710393e+001	1.214348e+002
1.549595238095255e-002	6.880123e+001	1.214739e+002
1.552452380952398e-002	7.047889e+001	1.215126e+002
1.555309523809542e-002	7.213691e+001	1.215508e+002
1.559452380952401e-002	7.450684e+001	1.216055e+002
1.563595238095259e-002	7.683933e+001	1.216593e+002
1.567738095238118e-002	7.913438e+001	1.217122e+002
1.571880952380976e-002	8.139198e+001	1.217643e+002
1.576023809523834e-002	8.361215e+001	1.218155e+002
1.580166666666693e-002	8.579488e+001	1.218658e+002
1.584309523809551e-002	8.794017e+001	1.219153e+002
1.585309523809551e-002	8.834502e+001	1.219895e+002
1.586309523809552e-002	8.842414e+001	1.222505e+002
1.587309523809552e-002	8.817884e+001	1.226976e+002
1.592309523809554e-002	8.643104e+001	1.252159e+002
1.593309523809554e-002	8.608566e+001	1.255888e+002
1.594309523809554e-002	8.574166e+001	1.255860e+002
1.595309523809554e-002	8.539904e+001	1.252089e+002
1.619047619047628e-002	7.765558e+001	1.138557e+002
1.645547619047636e-002	6.983822e+001	1.023942e+002
1.646547619047636e-002	6.955914e+001	1.021098e+002
1.647547619047637e-002	6.928119e+001	1.022007e+002
1.648547619047637e-002	6.910666e+001	1.026066e+002
1.649447318753162e-002	6.924280e+001	1.029136e+002
1.650363819899468e-002	6.968325e+001	1.030507e+002
1.657935248470898e-002	7.405176e+001	1.037010e+002
1.665506677042329e-002	7.829897e+001	1.043333e+002
1.673078105613760e-002	8.242487e+001	1.049475e+002
1.680649534185191e-002	8.642947e+001	1.055436e+002
1.688220962756622e-002	9.031277e+001	1.061217e+002
