time	V(U1M)	V(U1U2)	V(u1)
3.500000272551288e-003	9.072207e-002	1.617421e-001	9.074185e-002
3.500000361243263e-003	9.072027e-002	1.617421e-001	9.074185e-002
3.500000449935237e-003	9.072047e-002	1.617421e-001	9.074184e-002
3.500000538627212e-003	9.072266e-002	1.617421e-001	9.074183e-002
3.500000627319186e-003	9.072684e-002	1.617421e-001	9.074182e-002
3.630252000488235e-003	7.964178e-002	1.419804e-001	7.965678e-002
3.640252000488238e-003	-6.242104e+001	-1.873591e+002	7.896745e-002
3.650252000488241e-003	-2.499213e+002	-5.623593e+002	7.869957e-002
3.660252000488244e-003	-4.374209e+002	-7.498584e+002	7.905625e-002
3.670252000488247e-003	-4.999202e+002	-7.498574e+002	7.982397e-002
3.707394857631116e-003	-4.999170e+002	-7.498535e+002	8.297903e-002
3.744537714773984e-003	-4.999140e+002	-7.498497e+002	8.602870e-002
3.781680571916853e-003	-4.999110e+002	-7.498461e+002	8.897298e-002
3.818823429059721e-003	-4.999082e+002	-7.498425e+002	9.181187e-002
3.855966286202590e-003	-4.999055e+002	-7.498392e+002	9.454538e-002
3.893109143345458e-003	-4.999028e+002	-7.498359e+002	9.717349e-002
3.930252000488327e-003	-4.999003e+002	-7.498328e+002	9.969622e-002
3.940252000488330e-003	-3.748999e+002	-5.623324e+002	1.876001e+002
3.950252000488333e-003	-1.249000e+002	-1.873328e+002	5.626000e+002
3.960252000488336e-003	9.918213e-002	1.658936e-001	7.500992e+002
4.000000000000087e-003	9.527588e-002	1.593628e-001	7.500953e+002
4.034621999267705e-003	9.204102e-002	1.539917e-001	7.500920e+002
4.044621999267709e-003	-1.249086e+002	-1.873472e+002	5.625914e+002
4.054621999267712e-003	-3.749087e+002	-5.623475e+002	1.875913e+002
4.064621999267715e-003	-4.999082e+002	-7.498468e+002	9.183781e-002
4.098907713553439e-003	-4.999056e+002	-7.498436e+002	9.435152e-002
4.133193427839165e-003	-4.999032e+002	-7.498404e+002	9.678710e-002
4.167479142124889e-003	-4.999009e+002	-7.498374e+002	9.914457e-002
4.201764856410614e-003	-4.998986e+002	-7.498344e+002	1.014239e-001
4.236050570696339e-003	-4.998964e+002	-7.498316e+002	1.036251e-001
4.270336284982064e-003	-4.998943e+002	-7.498288e+002	1.057482e-001
4.304621999267788e-003	-4.998922e+002	-7.498262e+002	1.077932e-001
4.314621999267791e-003	-4.373917e+002	-5.623257e+002	1.082748e-001
4.324621999267794e-003	-3.123916e+002	-1.873263e+002	1.084407e-001
4.334621999267797e-003	-2.498917e+002	1.723201e-001	1.082939e-001
4.364621999267807e-003	-2.498924e+002	1.672239e-001	1.075545e-001
4.374621999267810e-003	-1.873928e+002	1.655589e-001	1.072093e-001
4.384621999267813e-003	-6.239345e+001	1.639105e-001	1.065566e-001
4.394621999267816e-003	1.055844e-001	1.622784e-001	1.055994e-001
4.500000000000087e-003	9.501518e-002	1.460340e-001	9.503018e-002
4.595000000000113e-003	8.640091e-002	1.327943e-001	8.641591e-002
4.605000000000116e-003	-6.241435e+001	1.314720e-001	8.565928e-002
4.615000000000119e-003	-1.874148e+002	1.301630e-001	8.522113e-002
4.625000000000122e-003	-2.499149e+002	1.288670e-001	8.509827e-002
4.675000000000137e-003	-2.499150e+002	1.225779e-001	8.501016e-002
4.685000000000140e-003	-3.124149e+002	-1.873783e+002	8.509671e-002
4.695000000000144e-003	-4.374145e+002	-5.623783e+002	8.549334e-002
4.705000000000147e-003	-4.999138e+002	-7.498773e+002	8.619697e-002
4.736428571428727e-003	-4.999113e+002	-7.498734e+002	8.867968e-002
4.767857142857309e-003	-4.999089e+002	-7.498696e+002	9.109111e-002
4.799285714285890e-003	-4.999066e+002	-7.498659e+002	9.343124e-002
4.830714285714471e-003	-4.999043e+002	-7.498623e+002	9.570008e-002
4.862142857143052e-003	-4.999021e+002	-7.498588e+002	9.789762e-002
4.893571428571633e-003	-4.999000e+002	-7.498554e+002	1.000239e-001
4.925000000000214e-003	-4.998979e+002	-7.498521e+002	1.020788e-001
4.935000000000217e-003	-3.748975e+002	-5.623515e+002	1.876025e+002
4.945000000000220e-003	-1.248977e+002	-1.873517e+002	5.626023e+002
4.955000000000223e-003	1.015015e-001	1.470947e-001	7.501015e+002
4.961474339280928e-003	1.008263e-001	1.461468e-001	7.501008e+002
4.967948678561633e-003	1.001612e-001	1.452039e-001	7.501002e+002
4.974423017842338e-003	9.950599e-002	1.442659e-001	7.500995e+002
4.980897357123044e-003	9.886076e-002	1.433330e-001	7.500989e+002
4.987371696403749e-003	9.822550e-002	1.424050e-001	7.500982e+002
4.993846035684453e-003	9.760020e-002	1.414820e-001	7.500976e+002
5.000320374965159e-003	9.698486e-002	1.405640e-001	7.500970e+002
5.050251998900870e-003	9.222412e-002	1.336670e-001	7.500922e+002
5.060251998900874e-003	-1.249084e+002	-1.873673e+002	5.625916e+002
5.070251998900877e-003	-3.749085e+002	-5.623673e+002	1.875915e+002
5.080251998900880e-003	-4.999080e+002	-7.498665e+002	9.202990e-002
5.105966284615173e-003	-4.999061e+002	-7.498635e+002	9.392055e-002
5.131680570329466e-003	-4.999042e+002	-7.498606e+002	9.576607e-002
5.157394856043760e-003	-4.999024e+002	-7.498578e+002	9.756644e-002
5.183109141758054e-003	-4.999007e+002	-7.498551e+002	9.932167e-002
5.208823427472348e-003	-4.998990e+002	-7.498524e+002	1.010318e-001
5.234537713186641e-003	-4.998973e+002	-7.498498e+002	1.026967e-001
5.260251998900935e-003	-4.998957e+002	-7.498473e+002	1.043165e-001
5.270251998900938e-003	-4.373952e+002	-5.623466e+002	1.048328e-001
5.280251998900941e-003	-3.123950e+002	-1.873470e+002	1.050329e-001
5.290251998900944e-003	-2.498951e+002	1.518226e-001	1.049201e-001
5.305966284615235e-003	-2.498954e+002	1.494553e-001	1.045828e-001
5.321680570329525e-003	-2.498957e+002	1.471235e-001	1.042507e-001
5.337394856043815e-003	-2.498961e+002	1.448273e-001	1.039236e-001
5.353109141758106e-003	-2.498964e+002	1.425666e-001	1.036015e-001
5.368823427472397e-003	-2.498967e+002	1.403414e-001	1.032846e-001
5.384537713186687e-003	-2.498970e+002	1.381518e-001	1.029726e-001
5.400251998900978e-003	-2.498973e+002	1.359977e-001	1.026658e-001
5.410251998900981e-003	-1.873976e+002	1.346436e-001	1.023693e-001
5.420251998900984e-003	-6.239825e+001	1.333030e-001	1.017647e-001
5.430251998900987e-003	1.008403e-001	1.319757e-001	1.008553e-001
5.500000000000088e-003	9.404066e-002	1.230755e-001	9.405475e-002
5.564622001648728e-003	8.815332e-002	1.153716e-001	8.816832e-002
5.574622001648731e-003	-6.241262e+001	1.142228e-001	8.739424e-002
5.584622001648734e-003	-1.874131e+002	1.130855e-001	8.693881e-002
5.594622001648737e-003	-2.499132e+002	1.119596e-001	8.679886e-002
5.614622001648743e-003	-2.499133e+002	1.097432e-001	8.672946e-002
5.634622001648749e-003	-2.499133e+002	1.075687e-001	8.666136e-002
5.654622001648756e-003	-2.499134e+002	1.054361e-001	8.659457e-002
5.674622001648762e-003	-2.499135e+002	1.033453e-001	8.652910e-002
5.694622001648768e-003	-2.499135e+002	1.012963e-001	8.646493e-002
5.714622001648774e-003	-2.499136e+002	9.928909e-002	8.640208e-002
5.734622001648780e-003	-2.499137e+002	9.732375e-002	8.634053e-002
5.744622001648783e-003	-3.124136e+002	-1.874033e+002	8.641384e-002
